trace1,2075033,2095679,0.9852,4,LRU,2045198,0.7146520614624023
trace1,2075033,2095679,0.9852,4,OPT,1932214,113.57098054885864
trace1,2075033,2095679,0.9852,8,LRU,2015746,0.7583482265472412
trace1,2075033,2095679,0.9852,8,OPT,1924899,108.91021490097046
trace1,2075033,2095679,0.9852,16,LRU,1981418,0.823091983795166
trace1,2075033,2095679,0.9852,16,OPT,1915756,119.34987330436707
trace1,2075033,2095679,0.9852,32,LRU,1952317,0.7849109172821045
trace1,2075033,2095679,0.9852,32,OPT,1902010,112.61807775497437
trace2,2074939,2095679,0.9897,4,LRU,2044903,0.7710001468658447
trace2,2074939,2095679,0.9897,4,OPT,1931674,106.27926778793335
trace2,2074939,2095679,0.9897,8,LRU,2015268,0.7541100978851318
trace2,2074939,2095679,0.9897,8,OPT,1924345,109.30619692802429
trace2,2074939,2095679,0.9897,16,LRU,1980838,0.885890007019043
trace2,2074939,2095679,0.9897,16,OPT,1915217,111.38452529907227
trace2,2074939,2095679,0.9897,32,LRU,1951694,0.7243516445159912
trace2,2074939,2095679,0.9897,32,OPT,1901442,113.76553797721863
trace3,2074836,2095679,0.9946,4,LRU,2044521,0.729891300201416
trace3,2074836,2095679,0.9946,4,OPT,1930881,108.24264526367188
trace3,2074836,2095679,0.9946,8,LRU,2014619,0.7415008544921875
trace3,2074836,2095679,0.9946,8,OPT,1923567,106.62284302711487
trace3,2074836,2095679,0.9946,16,LRU,1979966,0.7627503871917725
trace3,2074836,2095679,0.9946,16,OPT,1914470,107.58696055412292
trace3,2074836,2095679,0.9946,32,LRU,1950783,0.7255737781524658
trace3,2074836,2095679,0.9946,32,OPT,1900749,113.73417735099792
trace4,6224808,6287037,0.9898,4,LRU,6134622,2.2186882495880127
trace4,6224808,6287037,0.9898,4,OPT,5794765,320.04973101615906
trace4,6224808,6287037,0.9898,8,LRU,6045631,2.2222774028778076
trace4,6224808,6287037,0.9898,8,OPT,5772806,335.29159474372864
trace4,6224808,6287037,0.9898,16,LRU,5942220,2.7068305015563965
trace4,6224808,6287037,0.9898,16,OPT,5745435,333.885365486145
trace4,6224808,6287037,0.9898,32,LRU,5854792,2.441638469696045
trace4,6224808,6287037,0.9898,32,OPT,5704193,351.2083692550659
